NAME,ARCHITECTURE,ARCHITECTURE_FULL_NAME,FAMILY,DEVICE,PACKAGE,SPEED,TEMPERATURE_GRADE_LETTER,REVISION,AVAILABLE_IOBS,BLOCK_RAMS,DSP,FLIPFLOPS,GB_TRANSCEIVERS,LUT_ELEMENTS,MMCM,ULTRA_RAMS,SERIES,#VERSION=1
xc7vx415tffg1157-2,virtex7,Virtex-7,virtex7,xc7vx415t,ffg1157,-2,,,600,880,2160,515200,20,257600,12,
xc7vx415tffg1157-2L,virtex7,Virtex-7,virtex7,xc7vx415t,ffg1157,-2L,E,,600,880,2160,515200,20,257600,12,
xc7vx415tffg1157-3,virtex7,Virtex-7,virtex7,xc7vx415t,ffg1157,-3,,,600,880,2160,515200,20,257600,12,
xc7vx415tffg1158-1,virtex7,Virtex-7,virtex7,xc7vx415t,ffg1158,-1,,,350,880,2160,515200,48,257600,12,
xc7vx415tffg1158-2,virtex7,Virtex-7,virtex7,xc7vx415t,ffg1158,-2,,,350,880,2160,515200,48,257600,12,
xc7vx415tffg1158-2L,virtex7,Virtex-7,virtex7,xc7vx415t,ffg1158,-2L,E,,350,880,2160,515200,48,257600,12,
xc7vx415tffg1158-3,virtex7,Virtex-7,virtex7,xc7vx415t,ffg1158,-3,,,350,880,2160,515200,48,257600,12,
xc7vx415tffg1927-1,virtex7,Virtex-7,virtex7,xc7vx415t,ffg1927,-1,,,600,880,2160,515200,48,257600,12,
xc7vx415tffg1927-2,virtex7,Virtex-7,virtex7,xc7vx415t,ffg1927,-2,,,600,880,2160,515200,48,257600,12,
xc7vx415tffg1927-2L,virtex7,Virtex-7,virtex7,xc7vx415t,ffg1927,-2L,E,,600,880,2160,515200,48,257600,12,
xc7vx415tffg1927-3,virtex7,Virtex-7,virtex7,xc7vx415t,ffg1927,-3,,,600,880,2160,515200,48,257600,12,
xc7vx415tffv1157-1,virtex7,Virtex-7,virtex7,xc7vx415t,ffv1157,-1,,,600,880,2160,515200,20,257600,12,
xc7vx415tffv1157-2,virtex7,Virtex-7,virtex7,xc7vx415t,ffv1157,-2,,,600,880,2160,515200,20,257600,12,
